Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
4.417125,2.0195622630597456,0.95582875,quadratic,0.05590810182512223,0.0023453375346385815,0.029673456501966566,0.02942323951296146,2.522517855666843,1.554325211407646,9.65338315490734,0.25488488599331993,0,-14.561783167059005,-14.647839222491141,1.0748114084615068,1.0540387762480794,0.04417125000000001,0.020195622630597453,1.0,0.0,240.61335620347987,147.59818220441235,319.7580703683385,314.53432553584787,95.0666169395208,4.222891943670499,100,313.3949740361805,1.8788106040719987
8.417375,2.578453627540158,0.91582,quadratic,0.07054802310718646,0.0029843806607573633,0.012198026412109923,0.01214235391829258,4.380363619647271,1.7781461049262632,9.321883923795612,0.33231183215159765,0,-18.36710621854347,-18.369402393842694,2.6025676337700108,1.7087221348744854,0.08417375000000002,0.02578453627540158,0.9999937500000001,0.00024992186278915274,423.2029251206942,171.23676540655774,488.70216609608076,320.87026768808136,89.90274287821005,5.142953816294122,100,469.51458065575144,3.005222989490978
12.982875,3.048865647150592,0.870075,quadratic,0.08902150854450393,0.003820219326372034,0.005331500597225042,0.005297678924683279,6.206371783540577,1.8612950302879188,8.907010790416535,0.4039791508458778,0,-18.83173953607333,-18.83173953607333,5.018184809595096,2.3951055290252556,0.12982875,0.030488656471505924,0.9999037500000002,0.0009890581062303682,604.7837175133225,180.75962582823013,601.3342409761672,286.16046227715475,83.92505144886354,5.915337226846049,100,562.8151902606385,4.590210228266933
17.68875,3.3214264160899303,0.82239875,quadratic,0.11233240329780265,0.004964398609934984,0.004251390060094688,0.004229516938312985,7.682547670087405,1.8030539773871235,8.44335951517609,0.45887593215020933,0,-17.125957277506497,-17.125957277506497,8.208847060986747,3.06529504695018,0.17688749999999998,0.0332142641608993,0.99928625,0.002945854873801494,752.8143193275987,176.7947887735222,639.0458604421418,243.0098894585585,77.75930694623091,6.372052054418808,100,580.0243217389764,6.468987043716297
22.128,3.4879601488549143,0.77504,quadratic,0.14174741629268048,0.006562548075815142,0.0046459667559767956,0.004629290965039508,8.617800546222034,1.746510046091152,7.97664944093915,0.5210785092979835,0,-14.312896777592934,-14.312896777592934,11.953143579348518,3.770221291343391,0.22128,0.03487960148854915,0.9963200000000001,0.007502173018532703,849.2257114863215,172.1210167377623,616.8101139233303,204.1417951267943,72.07563454194545,6.913918687423629,100,542.5436276688655,8.448698238310584
26.317,3.7424271535996527,0.7261037500000002,quadratic,0.1788649529057435,0.008726418966693949,0.007046032044196869,0.0070566214729395746,9.084375125729808,1.740935503095885,7.529111202233304,0.5801729164589772,0,-11.475828605264581,-11.475828605264581,16.004290665362678,4.4198741540083875,0.26317,0.03742427153599653,0.9892737500000001,0.013601840351125294,897.6944264093779,172.22175769045077,559.9131954879188,171.96879156154355,67.06030620591937,7.46558428943028,100,477.3873240629403,10.372790710324345
30.267375,3.919870611305302,0.67381,quadratic,0.22570197196339215,0.011517450715085897,0.008659565802892066,0.00865872388622325,9.218018333470546,1.695120480108361,7.090705033874926,0.6356023119175509,0,-8.995888000554663,-8.995888000554663,20.267724698903923,5.007714901698016,0.30267375,0.03919870611305302,0.9764837500000001,0.021315451811713966,913.6251478715969,167.8749901869978,490.63754763864887,148.12992595635316,62.45468877754287,7.982248534519963,100,405.6656856424498,12.176590900123657
33.553375,4.04906175667586,0.621985,quadratic,0.2848035868435799,0.015249675103953792,0.012318564802547937,0.012111452620988767,9.027278722834954,1.6657112519531252,6.681253750076018,0.6918370963433614,0,-6.847388121878809,-6.847388121878809,24.59244873206045,5.657723829085104,0.33553375,0.0404906175667586,0.9575187500000001,0.030399110158646082,896.297007003923,165.24660597877806,418.07075949181177,128.46860734730038,58.47829246314738,8.504048819994178,100,336.5789983520631,13.83914079024253
36.45025,4.139719185826498,0.56961125,quadratic,0.3593813663804626,0.020099127521615058,0.015999511526765334,0.015627943292415902,8.628298932079533,1.671770178846489,6.329188075110258,0.7543574097725356,0,-5.165740353087391,-5.165740353087391,28.56139442114454,6.271519151171791,0.36450249999999995,0.04139719185826498,0.93411375,0.039569742998122936,858.1462456940142,166.51096350573505,346.95757207349436,113.50761363345386,55.29721490681679,9.140843244023294,100,272.51002961216955,15.238593216698906
38.95075,4.220376101427455,0.5181525,quadratic,0.4534878508128582,0.02629248789364041,0.021949884703970343,0.021259579500017948,8.159472781693742,1.7284644710651837,5.989733421356092,0.8274654455411793,0,-3.877917713734607,-3.877917713734607,32.45129547831246,6.960380381888439,0.38950750000000006,0.04220376101427454,0.90766,0.0493365929103338,812.1040905952026,172.19659066548454,289.1463754008955,106.39947344750202,52.30582108809065,9.932804216677113,100,222.56937932569448,16.428914629180493
40.9865,4.3136200284679695,0.4690275,quadratic,0.572236765935022,0.03419416748156415,0.029332632580258356,0.028112407381678774,7.602775229435788,1.750575529451305,5.689833149112775,0.8940331153532749,0,-2.902122673543957,-2.902122673543957,36.05008562177098,7.592683641501942,0.40986500000000003,0.04313620028467969,0.8788925000000001,0.05883620011311063,757.5300786319004,174.24483764157603,237.79250097883397,97.35443893136993,49.79731274065921,10.643138247019651,100,179.99030978951157,17.423111475916613
42.75125,4.2786532270680695,0.423005,quadratic,0.7220809018385457,0.044329458973152144,0.03867486318559869,0.03665096468733627,7.078016469070371,1.835774746463385,5.410363359658377,0.9649294099442348,0,-2.174956950203151,-2.174956950203151,39.424895029329726,8.210012604280351,0.4275125000000001,0.04278653227068069,0.8505174999999999,0.06833982875124871,705.6763908540466,182.82849324493188,198.43880732772942,93.91199353216746,47.48034039290633,11.44423615673039,100,148.34049019129802,18.208308709372446
44.112125,4.432415028443862,0.37961249999999996,quadratic,0.9111627561154887,0.05745693181430246,0.054312297365675104,0.050427673595397904,6.565824661276012,1.944645311515518,5.14059733342922,1.0541677381336212,0,-1.657949912226316,-1.657949912226316,42.644740957098286,8.972278697786027,0.44112125,0.04432415028443862,0.82073375,0.07837856282771138,654.8265138644855,193.83010180154503,167.01930592543846,91.65636828287533,45.24047460590178,12.470860934485591,100,123.90925244281819,18.81473366144218
45.204625,4.395992903699345,0.3399475,quadratic,1.1497569953977356,0.07422511635043741,0.06805248424742771,0.061256248201863345,6.083432583929113,2.0713734634600667,4.899419574212503,1.144894362186514,0,-1.277049307988617,-1.277049307988617,45.60787070009274,9.78502420748747,0.45204625000000004,0.04395992903699345,0.7919937499999999,0.08740030011926446,607.2233312611871,206.6957928074868,142.5170005973609,91.34001811044473,43.25496478457974,13.5034112394232,100,105.50884859415045,19.250652620403116
46.058375,4.352811431635306,0.30322375,quadratic,1.4508287784959402,0.09633756362625397,0.09110802426987674,0.08006443298750492,5.680925782844046,2.2207691498966495,4.655706265815771,1.253265302406924,0,-1.0124908256383287,-1.0124908256383287,48.477368838975345,10.726121095104293,0.46058375,0.04352811431635306,0.7638075,0.09735644787968592,567.1336543487204,221.7583832042532,125.02901198610533,92.19062161135783,41.19494671772308,14.736697153502236,100,92.75609423592309,19.51934588416685
46.66825,4.374779072993286,0.27419374999999996,quadratic,1.830738280295366,0.1300439219946187,0.11630951235127912,0.09889701133582904,5.271453195874067,2.3881002771459974,4.471073171021818,1.3693231550792084,0,-0.8374695287034131,-0.8374695287034131,50.75932426064996,11.692497896484378,0.4666825,0.04374779072993287,0.74087625,0.106647056621069,526.3279769811174,238.47152032677593,110.34679300974432,93.15744204194684,39.73459047752095,16.07901776395699,100,82.5585742134534,19.744095176889864
47.36425,4.356153341825791,0.24496250000000014,quadratic,2.310129700083158,0.17109721403978465,0.1532709438552277,0.12450090567446818,4.958248439436803,2.5104886454364856,4.255174834773959,1.4613288147610952,0,-7892839758.200437,-0.7228936507001427,53.22668858831384,12.54792312547587,0.4736425,0.04356153341825791,0.7186037500000001,0.11213513270129706,495.05601629528195,250.34002361870853,99.92337315694255,92.71668570765473,37.838491706357665,17.08613507761106,100,75.33914556976505,19.73197883186408
47.514875,4.372874196038001,0.224175,quadratic,2.9150530628251756,0.24261230666048236,0.1913944077630529,0.15147246429230937,4.652308404160267,2.6416781614646307,4.083413957908744,1.5905489543847233,0,1411187520.1165323,-0.5944138486683062,55.29011769765535,13.742873950836307,0.47514875,0.04372874196038002,0.69932,0.11952034387500732,464.57692271921223,263.60315103525966,91.9491766494483,91.93813406594006,36.42415612990277,18.506763559705778,100,70.30520316202806,19.749886578258817
47.961375,4.316698172142106,0.2036225,quadratic,3.6783797718286344,0.3362979704188018,0.2434090361525146,0.18733017404281005,4.37935884526455,2.708864576521143,3.8918261979100395,1.6949840602201538,0,-5398377536.153226,-0.579326582963298,57.48861797102803,14.784667321535789,0.47961375000000006,0.04316698172142107,0.6832287499999999,0.12331428414193345,437.5215351829479,270.4240759302732,84.21638204763128,89.1465936040021,34.742988267414404,19.574312011177216,100,65.03759815203443,19.59667711267549
48.167125,4.29845253950477,0.18675547217007313,quadratic,4.641588833612782,0.4811095801080369,0.29885403652612386,0.22776705255747304,4.123884624573147,2.7640959942266368,3.715886866619709,1.7869356129755951,0,2717322645543.0044,-0.7491137204921099,59.55038970562474,15.709227932283568,0.48167125,0.0429845253950477,0.66829125,0.12622833546172388,411.83294186345756,275.7622974043734,77.69641002402155,85.98485725180187,33.23803573548456,20.49513066302112,100,60.68998562723073,19.43022052996772
48.32475,4.2064281091562705,0.17485657021169987,quadratic,5.857020818056661,0.7172060982958561,0.3792966197785107,0.28978761191141006,3.8780763851803246,2.803865351605315,3.5412358277451763,1.9266841130082144,0,-618186190497.7418,-0.44162545486802796,61.52599812897209,17.155595578319208,0.4832475,0.04206428109156272,0.65769625,0.13081114339358668,387.29729729237255,279.85153489573474,71.67206987342402,82.53662076975353,31.71034344684464,21.855195780072485,100,56.63259342413073,19.169992259138578
48.532375,4.192099934325874,0.1647294413057125,quadratic,7.390722033525775,1.0665995513395388,0.4773105614844868,0.3507137314544236,3.5752459092664073,2.7491822403445876,3.4259657015320046,1.992991320770272,0,-341434655429.57153,-0.3753397885759702,63.00164917230275,17.901574878530727,0.48532375,0.041920999343258755,0.64927125,0.13146960265946459,357.35477570495635,274.6962571231735,63.56698112654023,77.22249603462446,30.84682342984489,22.413043354489098,100,50.78459781481405,19.109582441771206
48.546375,4.191312367191808,0.16077550508219351,quadratic,9.326033468832199,1.650686284398309,0.6274308066333173,0.46010513864304914,3.2224482879476213,2.6813687874019103,3.35899072985302,2.0616320900842857,0,-57638298815.009346,-0.3461864088473203,64.02361797248443,18.747836607934072,0.48546375,0.04191312367191809,0.6455712499999999,0.1332177678593869,322.1499832274325,268.0411679725009,54.54575691061959,71.98610569941262,30.526124420837625,22.962463519604416,100,44.16158394212303,19.243305697599098
